config,user_weight,long_history_weight,channel_weight,department_weight,age_weight,trend_weight,global_weight,fold_count,mean_map12,std_map12
local_u40_l7_c5_d5_a5_t5.5_g1.2,40.0,7.0,5.0,5.0,5.0,5.5,1.2,3,0.022385350232531284,0.0009622776671935951
local_u36_l8_c4_d6_a4_t4_g1.2,36.0,8.0,4.0,6.0,4.0,4.0,1.2,3,0.02232538859254739,0.0009718185614979859
local_u40_l8_c6_d6_a4_t4_g1.2,40.0,8.0,6.0,6.0,4.0,4.0,1.2,3,0.022261474504252393,0.0010067063665706072
local_u36_l6_c6_d6_a4_t4_g1.2,36.0,6.0,6.0,6.0,4.0,4.0,1.2,3,0.022258814249830127,0.0010577777091215403
local_u38_l10_c5_d6_a5_t5_g1,38.0,10.0,5.0,6.0,5.0,5.0,1.0,3,0.02224544246216112,0.00096292002500972
local_u36_l8_c6_d6_a4_t3_g1.2,36.0,8.0,6.0,6.0,4.0,3.0,1.2,3,0.022239712197138443,0.0009520204649782643
local_u36_l8_c6_d6_a2.5_t4_g1.2,36.0,8.0,6.0,6.0,2.5,4.0,1.2,3,0.022235792176189678,0.0009988206269800337
local_u38_l8_c6_d6_a4_t4_g1.2,38.0,8.0,6.0,6.0,4.0,4.0,1.2,3,0.02223444798977327,0.0010149013560357477
local_u36_l8_c6_d8_a4_t4_g1.2,36.0,8.0,6.0,8.0,4.0,4.0,1.2,3,0.022233234460253087,0.0009962913029233883
local_u36_l8_c6_d6_a4_t6_g1.2,36.0,8.0,6.0,6.0,4.0,6.0,1.2,3,0.022230398319272482,0.0009690208769588922
local_u36_l8_c6_d6_a4_t4_g0.8,36.0,8.0,6.0,6.0,4.0,4.0,0.7999999999999999,3,0.02222756765491053,0.0009979171400367377
local_u36_l8_c6_d6_a6_t4_g1.2,36.0,8.0,6.0,6.0,6.0,4.0,1.2,3,0.022201764455847383,0.0009502445390388342
recent_heavy,36.0,8.0,6.0,6.0,4.0,4.0,1.2,3,0.022190825416183845,0.0010105640050496803
local_u36_l8_c6_d6_a4_t4_g1.8,36.0,8.0,6.0,6.0,4.0,4.0,1.7999999999999998,3,0.02216765877847351,0.0010160426840944792
local_u34_l8_c6_d6_a4_t4_g1.2,34.0,8.0,6.0,6.0,4.0,4.0,1.2,3,0.022149124530375996,0.0009983640611610277
local_u36_l11_c6_d6_a4_t4_g1.2,36.0,11.0,6.0,6.0,4.0,4.0,1.2,3,0.022089462163041553,0.0010104056236151366
department_mix,30.0,8.0,6.0,8.0,5.0,3.5,1.2,3,0.022038213818042395,0.0009208884566335228
local_u36_l8_c8_d6_a4_t4_g1.2,36.0,8.0,8.0,6.0,4.0,4.0,1.2,3,0.022038000729124804,0.0010011344496971735
trend_heavy,28.0,6.0,5.0,5.0,4.0,6.0,1.8,3,0.022022424503584336,0.0009104533079638428
history_plus,34.0,12.0,6.0,6.0,4.0,3.0,1.2,3,0.021989555906122393,0.0009491067437092667
balanced_fresh,32.0,9.0,7.0,7.0,6.0,4.5,1.4,3,0.021962592163973792,0.0009250594647740798
hybrid_base,30.0,10.0,6.0,6.0,5.0,4.0,1.5,3,0.021930711404776048,0.0009253594313871186
global_smooth,24.0,6.0,5.0,5.0,4.0,4.0,2.5,3,0.02174442142606839,0.0009146427081372081
age_channel_mix,30.0,8.0,8.0,6.0,7.0,3.0,1.2,3,0.021744316065750096,0.0009548424240193856
