feature,gain,split,gain_rank
candidate_rank,4714382.933078766,649,1
source_baseline,304661.0,1,2
candidate_score,244729.36837768555,116,3
user_avg_price,91168.24143218994,805,4
user_recency_days,78244.29128265381,680,5
user_txn_all,69585.33879089355,578,6
ua_recency_days,68777.79201889038,226,7
item_pop_7d,65462.58615875244,295,8
item_buyers_7d,60313.1551990509,276,9
user_unique_items,55412.39986228943,461,10
item_avg_price,52877.52194023132,416,11
user_pref_department,48632.22622489929,431,12
ua_cnt,46588.874866485596,87,13
item_pop_all,32410.173274993896,264,14
user_txn_30d,30927.05468559265,246,15
item_buyers_all,29345.288215637207,255,16
item_pop_30d,28542.241947174072,257,17
article_department_no,26876.40528869629,218,18
item_buyers_30d,26714.17458152771,234,19
article_product_type_no,25991.065727233887,216,20
customer_age_bin_id,22036.708652496338,202,21
article_colour_group_code,20508.537008285522,190,22
article_section_no,16259.381366729736,140,23
item_recency_days,15084.790271759033,59,24
article_garment_group_no,13386.560981750488,110,25
article_product_group_no,11620.505554199219,81,26
user_pref_channel,6636.817975997925,52,27
same_department_as_pref,3745.824390411377,30,28
article_index_group_no,2202.2013359069824,25,29
